,Time,PedestrianId,X,Y,Yaw,Vx,Vy,Scene
0,600.0,1.0,10.561,3.64085,-2.9862180002404317,-1.13,-0.17699999999999994,0
1202,600.0,25.0,4.5513,10.407,-0.9527019798144261,0.39462500000000067,-0.555000000000001,0
5562,600.0,82.0,10.4115,8.80275,2.3396840334636146,-0.18624999999999892,0.1924999999999999,0
5496,600.0,66.0,5.912700000000001,10.445,-2.779273015962063,-0.45837499999999975,-0.1737500000000014,0
1314,600.0,26.0,5.1703,10.817499999999999,-0.46751353724079026,0.3738750000000002,-0.18874999999999975,0
5418,600.0,65.0,5.1548,10.427499999999998,-2.7335640216661385,-0.28337500000000015,-0.12250000000000094,0
5352,600.0,64.0,4.7783,10.410499999999999,2.660705289052996,-0.244375,0.12749999999999817,0
5288,600.0,63.0,3.96465,10.655000000000001,2.101321825431557,-0.19725000000000048,0.3362500000000024,0
5252,600.0,62.0,3.4364,11.588000000000001,2.190298614909297,-0.2709999999999996,0.38000000000000256,0
1554,600.0,27.0,4.7722999999999995,11.08,-0.45102631353984113,0.3071250000000003,-0.14874999999999972,0
5104,600.0,61.0,7.9226,12.2035,-1.7050499948945594,-0.01974999999999949,-0.14624999999999666,0
4952,600.0,60.0,8.3401,11.744,-2.780147578470893,-0.09587500000000082,-0.03624999999999767,0
4908,600.0,59.0,1.90505,4.6623,-2.57415231491606,-0.2275000000000002,-0.14499999999999957,0
4876,600.0,58.0,1.49335,5.1278500000000005,-2.5784621143663387,-0.07187499999999986,-0.04537499999999972,0
4854,600.0,57.0,0.93657,4.30485,-2.4367745350015415,-0.26306250000000003,-0.22374999999999923,0
1790,600.0,28.0,4.89185,10.665,-0.2516396016240217,0.33062500000000106,-0.08499999999999952,0
4632,600.0,56.0,11.671,7.43255,-2.883649888303644,-0.08624999999999661,-0.02275000000000027,0
54,600.0,2.0,10.724,3.1209499999999997,-2.999218372143849,-1.1737499999999979,-0.16825000000000034,0
4486,600.0,55.0,14.4545,7.6530000000000005,2.727639223483304,-0.6037499999999985,0.2652500000000002,0
4374,600.0,54.0,6.5386500000000005,9.88985,2.516107753105058,-0.18674999999999997,0.13487500000000097,0
1198,600.0,24.0,1.062865,3.0429000000000004,-2.657317617151244,-1.7013375000000002,-0.8949999999999997,0
1166,600.0,23.0,10.07555,5.8523,-0.8060649178294388,0.4116249999999999,-0.4290000000000005,0
1136,600.0,22.0,9.90005,5.59715,-0.6597276819986676,0.4346249999999996,-0.33712500000000034,0
1120,600.0,21.0,3.841,0.489255,-2.992480177074899,-1.4556250000000004,-0.2186749999999999,0
274,600.0,5.0,11.160499999999999,1.4456,2.900659134250734,-0.9024999999999994,0.22175,0
338,600.0,6.0,11.069,0.568845,2.8501796443943803,-0.7737499999999975,0.23208750000000006,0
394,600.0,7.0,8.53995,1.35965,2.6799647166033305,-1.5166250000000003,0.7544875,0
426,600.0,8.0,7.4995,1.1297,2.801125684852463,-0.9355000000000002,0.33141249999999983,0
456,600.0,9.0,8.28055,4.8261,-2.818789826936338,-1.282500000000002,-0.4289999999999994,0
492,600.0,10.0,2.94435,2.6056,1.0913260798943187,0.4172500000000001,0.8024999999999999,0
528,600.0,11.0,12.357,6.63175,-2.8604171724859473,-1.1187499999999995,-0.3231250000000008,0
588,600.0,12.0,5.8404,7.1606000000000005,-1.8512453114176952,-0.2631250000000007,-0.9135000000000004,0
628,600.0,13.0,4.6162,5.76755,-2.625768636378674,-0.5846249999999997,-0.33150000000000013,0
4264,600.0,53.0,6.8788,9.87455,2.4524505820609455,-0.18100000000000005,0.14912500000000106,0
680,600.0,14.0,5.0141,5.3485,-2.6745800584466375,-0.6230000000000002,-0.31412500000000065,0
770,600.0,16.0,4.827,4.3203499999999995,-2.6465347371862964,-0.5137499999999995,-0.2773749999999997,0
